symbol,identifier,series,isin,industry,companyName,lastPrice,change,pChange,totalTradedVolume,totalTradedValue,yearHigh,nearWKH,nearWKL,perChange365d,perChange30d,key,index,indexSymbol,last,variation,percentChange,yearLow,declines,advances,unchanged,previousDay,oneWeekAgo,oneMonthAgo,oneYearAgo
UNOMINDA,UNOMINDAEQN,EQ,INE405E01023,Auto Components & Equipments,UNO Minda Limited,1053.15,-11.15,-1.05,349936.0,366830910.08,1255.0,16.083665338645414,-91.97047028800584,92.58,15.27,,,,,,,,,,,,,,
HINDZINC,HINDZINCEQN,EQ,INE267A01025,Zinc,Hindustan Zinc Limited,492.1,-4.35,-0.88,733824.0,361921996.8,807.7,39.073913581775415,-72.90934645115952,56.63,-23.17,,,,,,,,,,,,,,
KANSAINER,KANSAINEREQN,EQ,INE531A01024,Paints,Kansai Nerolac Paints Limited,310.15,-2.65,-0.85,385112.0,118972650.16,357.3,13.196193674783105,-23.148699622791337,-12.79,-2.02,,,,,,,,,,,,,,
SKFINDIA,SKFINDIAEQN,EQ,INE640A01023,Abrasives & Bearings,SKF India Limited,5420.95,-38.45,-0.7,34057.0,184765355.26000002,7350.0,26.24557823129252,-34.69872033793017,2.69,-5.16,,,,,,,,,,,,,,
TIMKEN,TIMKENEQN,EQ,INE325A01013,Abrasives & Bearings,Timken India Limited,3773.2,-24.95,-0.66,18207.0,68313210.21000001,4817.9,21.683721123310985,-49.46326005149534,20.28,-9.97,,,,,,,,,,,,,,
BAYERCROP,BAYERCROPEQN,EQ,INE462A01022,Pesticides & Agrochemicals,Bayer Cropscience Limited,6460.0,-39.2,-0.6,15439.0,100300544.22999999,7196.85,10.238507124644814,-34.22261006877351,31.28,-8.52,,,,,,,,,,,,,,
STARHEALTH,STARHEALTHEQN,EQ,INE575P01011,General Insurance,Star Health and Allied Insurance Company Limited,612.4,-3.55,-0.58,341307.0,211439686.5,656.7,6.74585046444344,-34.65259454705364,-1.22,6.33,,,,,,,,,,,,,,
EMAMILTD,EMAMILTDEQN,EQ,INE548C01032,Personal Care,Emami Limited,748.55,-3.4,-0.45,487035.0,364263217.2,860.0,12.9593023255814,-79.46535602972907,51.83,4.36,,,,,,,,,,,,,,
ATUL,ATULEQN,EQ,INE100A01010,Specialty Chemicals,Atul Limited,7869.95,-29.35,-0.37,11138.0,87583997.14,8135.4,3.262900410551415,-52.08073663970935,8.34,2.27,,,,,,,,,,,,,,
METROBRAND,METROBRANDEQN,EQ,INE317I01021,Footwear,Metro Brands Limited,1255.05,-4.7,-0.37,48313.0,60777270.87,1441.2,12.916319733555374,-26.76632493308419,24,-3.23,,,,,,,,,,,,,,
